bengaluru,12.97,77.59
noida,28.57,77.35
hyderabad,17.36,78.47
pune,18.64,73.93
chennai,13.07,80.28
gurgaon,28.46,77.02
bhubaneswar,20.28,85.82
kolkata,22.56,88.34
mumbai,18.95,72.83
jaipur,26.91,75.82
Andhra Pradesh,16.54,80.51
Assam,26.14,91.79
Bihar,25.6,85.1
Chhattisgarh,20.91,82
Delhi,28.61,77.23
Goa,15.49,73.82
Gujarat,23.22,72.68
Haryana,30.75,76.78
Himachal Pradesh,31.1,77.17
Jammu and Kashmir,34.09,74.79
Jharkhand,23.35,85.33
Karnataka,12.96,77.56
Kerala,8.48,76.95
Madhya Pradesh,23.25,77.41
Maharashtra,18.97,72.82
Meghalaya,25.56,91.88
Orissa,20.27,85.84
Punjab,30.75,76.78
Rajasthan,27.02,74.21
Sikkim,27.53,88.51
Tamil Nadu,11.12,78.65
Telangana,18.11,79.01
Union Territory,10.91,79.79
Uttar Pradesh,26.84,80.94
Uttarakhand,30.06,79.01
West Bengal,22.98,87.85
